"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","317","login failure for locked out user","","2026-08-25","passed","2026-08-25","UI Login Suite","ui\auth-ui.spec.ts","",""
"","173","POST /products/add - create new product","","2026-08-25","passed","2026-08-25","Products API CRUD Suite","api\products.spec.ts","",""
"","127","DELETE /products/1 - delete product","","2026-08-25","passed","2026-08-25","Products API CRUD Suite","api\products.spec.ts","",""
"","176","POST /auth/login - Error with wrong password","","2026-08-25","passed","2026-08-25","Auth API Tests","api\auth.spec.ts","",""
"","618","User can login, add product to cart and complete the purchase","","2026-08-25","passed","2026-08-25","E2E Purchase Flow Suite","ui\checkout-e2e.spec.ts","",""
"","291","GET /auth/me - Getting profile of logged-in user","","2026-08-25","passed","2026-08-25","Auth API Tests","api\auth.spec.ts","",""
"","129","PUT /products/1 - Update product price","","2026-08-25","passed","2026-08-25","Products API CRUD Suite","api\products.spec.ts","",""
"","125","GET /products/search - search products by keyword","","2026-08-25","passed","2026-08-25","Products API CRUD Suite","api\products.spec.ts","",""
"","378","successful login with standard user","","2026-08-25","passed","2026-08-25","UI Login Suite","ui\auth-ui.spec.ts","",""
"","327","login failure for user with invalid password","","2026-08-25","passed","2026-08-25","UI Login Suite","ui\auth-ui.spec.ts","",""
"","164","GET /products - get list of products with limit and skip parameters","","2026-08-25","passed","2026-08-25","Products API CRUD Suite","api\products.spec.ts","",""
"","206","POST /auth/login - Successful authorization","","2026-08-25","passed","2026-08-25","Auth API Tests","api\auth.spec.ts","",""
